,ids_culture
1,Saci_1717
2,Saci_1078
3,Saci_2035
4,Saci_1952
5,Saci_1953
6,Saci_1226
7,Saci_1109
8,Saci_2196
9,Saci_1819
10,Saci_2094
11,Saci_0292
12,Saci_2255
13,Saci_1814
14,Saci_1397
15,Saci_2056
16,Saci_0157
17,Saci_2240
18,Saci_2243
19,Saci_1783
20,Saci_1843
21,Saci_0098
22,Saci_0385
23,Saci_1982
24,Saci_1857
25,Saci_2182
26,Saci_2076
27,Saci_0301
28,Saci_2306
29,Saci_0324
30,Saci_0233
31,Saci_1846
32,Saci_2134
33,Saci_1073
34,Saci_0513
35,Saci_1185
36,Saci_1938
37,Saci_2028
38,Saci_2355
39,Saci_0231
40,Saci_2229
41,Saci_0488
42,Saci_1187
43,Saci_1272
44,Saci_0359
45,Saci_1849
46,Saci_2065
47,Saci_0109
48,Saci_1501
49,Saci_1162
50,Saci_0141
51,Saci_2194
52,Saci_1647
53,Saci_2222
54,Saci_1002
55,Saci_1951
56,Saci_1172
57,Saci_0945
58,Saci_2213
59,Saci_1183
60,Saci_2281
61,Saci_1043
62,Saci_1445
63,Saci_1853
64,Saci_0511
65,Saci_0905
66,Saci_2041
67,Saci_1124
68,Saci_2009
69,Saci_0569
70,Saci_0209
71,Saci_2073
72,Saci_0817
73,Saci_1120
74,Saci_0004
75,Saci_2007
76,Saci_1114
77,Saci_1023
78,Saci_1115
79,Saci_1270
80,Saci_1823
81,Saci_1380
82,Saci_0190
83,Saci_1508
84,Saci_1419
85,Saci_0885
86,Saci_0238
87,Saci_0135
88,Saci_1135
89,Saci_1103
90,Saci_1903
91,Saci_1196
92,Saci_0376
93,Saci_0103
94,Saci_0031
95,Saci_1376
96,Saci_1048
97,Saci_1760
98,Saci_0658
99,Saci_0367
100,Saci_0461
101,Saci_1682
102,Saci_2172
103,Saci_1298
104,Saci_0013
105,Saci_0377
106,Saci_0166
107,Saci_1777
108,Saci_1906
109,Saci_0631
110,Saci_2171
111,Saci_1352
112,Saci_2206
113,Saci_1943
114,Saci_1622
115,Saci_1221
116,Saci_1433
117,Saci_1720
118,Saci_1160
119,Saci_1131
120,Saci_0866
121,Saci_1747
122,Saci_0297
123,Saci_0329
124,Saci_0925
125,Saci_0045
126,Saci_1603
127,Saci_0153
128,Saci_2116
129,Saci_0661
130,Saci_1240
131,Saci_0568
132,Saci_0358
133,Saci_2155
134,Saci_1213
135,Saci_1670
136,Saci_1239
137,Saci_0447
138,Saci_1681
139,Saci_1736
140,Saci_1371
141,Saci_2296
142,Saci_0355
143,Saci_2016
144,Saci_0484
145,Saci_1403
146,Saci_0108
147,Saci_1544
148,Saci_2354
149,Saci_2082
150,Saci_0333
151,Saci_2102
152,Saci_1408
153,Saci_1216
154,Saci_1125
155,Saci_0556
156,Saci_2084
157,Saci_1636
158,Saci_1948
159,Saci_0068
160,Saci_1319
161,Saci_0730
162,Saci_1259
163,Saci_0460
